customer_id,last_txn_date,frequency,monetary,net_revenue,recency_days,r_score,f_score,m_score,rfm_total,rfm_segment
1,2025-11-13,3,294.94,3.005636,48,4,2,1,7,New Customers
2,2025-12-16,4,435.64,-1.1298940000000006,15,5,3,2,10,Loyal Users
3,2025-07-14,3,637.0799999999999,-7.454933000000002,170,1,2,2,5,Hibernating
4,2025-11-09,2,343.59,5.8425769999999995,52,4,1,1,6,New Customers
5,2025-06-06,4,520.53,-4.8261140000000005,208,1,3,2,6,At Risk
8,2025-08-19,5,2456.7200000000003,-1.1722619999999964,134,2,4,5,11,At Risk
9,2025-09-24,3,373.55,-13.246719999999998,98,2,2,2,6,Hibernating
10,2025-09-24,2,573.37,-2.075845000000001,98,2,1,2,5,Hibernating
11,2025-12-06,3,510.2,5.916886999999999,25,4,2,2,8,New Customers
12,2025-12-16,5,779.05,-6.72941,15,5,4,3,12,Loyal Users
13,2025-12-31,3,782.84,0.6938140000000006,0,5,2,3,10,New Customers
14,2025-09-25,2,285.48,2.41402,97,2,1,1,4,Hibernating
15,2025-12-11,3,336.68,2.1411599999999997,20,5,2,1,8,New Customers
16,2025-11-12,1,226.48,1.574488,49,4,1,1,6,New Customers
17,2025-11-03,3,900.6899999999999,-3.2313130000000005,58,3,2,3,8,Potential Loyalists
18,2025-12-29,5,1443.96,15.280288000000002,2,5,4,4,13,Champions
19,2025-09-29,3,447.42,-1.1675669999999994,93,3,2,2,7,Potential Loyalists
20,2025-12-26,5,1343.64,11.377543000000001,5,5,4,4,13,Champions
21,2025-07-08,5,2725.75,-22.934665999999993,176,1,4,5,10,At Risk
22,2025-10-25,4,2162.63,-48.673873000000015,67,3,3,5,11,Loyal Users
23,2025-10-30,4,1838.8000000000002,28.000608000000003,62,3,3,5,11,Loyal Users
24,2025-08-03,2,624.97,9.009066,150,2,1,2,5,Hibernating
25,2025-12-21,3,1342.49,25.034119000000004,10,5,2,4,11,New Customers
26,2025-12-27,3,915.9,-9.278863000000005,4,5,2,3,10,New Customers
27,2025-08-08,4,817.14,12.705891,145,2,3,3,8,At Risk
28,2025-09-16,2,334.16999999999996,-13.341499,106,2,1,1,4,Hibernating
29,2025-01-06,1,182.96,1.563816,359,1,1,1,3,Lost Customers
30,2025-01-21,1,251.54,3.517946,344,1,1,1,3,Lost Customers
31,2025-11-23,4,1342.5300000000002,-20.885326,38,4,3,4,11,Loyal Users
32,2025-03-31,1,186.68,-4.255208,275,1,1,1,3,Lost Customers
33,2025-07-12,2,175.31,-0.18428300000000042,172,1,1,1,3,Lost Customers
34,2025-05-23,3,588.63,-0.9320339999999998,222,1,2,2,5,Hibernating
35,2025-09-23,7,2152.21,13.447122999999998,99,2,5,5,12,At Risk
36,2025-10-03,3,565.7,8.757576,89,3,2,2,7,Potential Loyalists
37,2025-02-24,1,70.53,-4.173704000000001,310,1,1,1,3,Lost Customers
38,2025-02-25,2,337.04999999999995,3.5693140000000003,309,1,1,1,3,Lost Customers
39,2025-05-06,1,138.35,0.99884,239,1,1,1,3,Lost Customers
40,2025-09-30,4,1760.96,27.777115,92,3,3,5,11,Loyal Users
41,2025-10-08,4,531.43,5.392265,84,3,3,2,8,Loyal Users
42,2025-07-18,4,940.07,-8.620525999999998,166,1,3,3,7,At Risk
43,2025-10-15,5,2736.13,13.648208000000004,77,3,4,5,12,Loyal Users
44,2025-12-31,7,1289.43,12.136007,0,5,5,4,14,Champions
45,2025-11-11,3,512.73,9.921603999999999,50,4,2,2,8,New Customers
46,2025-07-30,2,183.19,3.453302,154,2,1,1,4,Hibernating
47,2025-05-12,3,1480.3899999999999,16.066677,233,1,2,4,7,Cannot Lose Them
48,2025-06-01,3,604.01,5.815091000000001,213,1,2,2,5,Hibernating
49,2025-10-25,3,489.32,-15.889503,67,3,2,2,7,Potential Loyalists
50,2025-11-24,4,719.81,6.775217,37,4,3,3,10,Loyal Users
51,2025-11-11,7,933.01,-0.6523339999999984,50,4,5,3,12,Loyal Users
52,2025-12-29,6,1345.62,-3.5486889999999973,2,5,5,4,14,Champions
53,2025-12-01,9,2297.96,4.553360000000004,30,4,5,5,14,Champions
54,2025-04-18,2,769.76,15.350931,257,1,1,3,5,Cannot Lose Them
55,2025-11-21,4,1058.7,-19.857609999999998,40,4,3,4,11,Loyal Users
56,2025-08-13,5,831.97,5.060597000000001,140,2,4,3,9,At Risk
57,2025-12-21,4,1648.0700000000002,25.978347999999997,10,5,3,5,13,Loyal Users
58,2025-07-25,5,1426.72,16.598996,159,2,4,4,10,At Risk
59,2025-07-31,1,229.47,1.4622829999999998,153,2,1,1,4,Hibernating
60,2025-10-24,4,1039.45,-5.357557,68,3,3,4,10,Loyal Users
61,2025-01-27,1,398.54,2.8174440000000005,338,1,1,2,4,Lost Customers
62,2025-11-09,3,610.0,6.834114,52,4,2,2,8,New Customers
63,2025-05-31,2,480.99,5.7643,214,1,1,2,4,Lost Customers
64,2025-04-17,2,1842.8899999999999,27.45266,258,1,1,5,7,Cannot Lose Them
65,2025-11-25,5,1513.02,20.450243,36,4,4,5,13,Champions
66,2025-12-04,3,684.6800000000001,-14.631992,27,4,2,3,9,New Customers
67,2025-12-25,6,2696.88,36.400788,6,5,5,5,15,Champions
68,2025-11-15,3,478.87,8.138674000000002,46,4,2,2,8,New Customers
69,2025-11-09,4,983.8100000000001,13.081541999999999,52,4,3,3,10,Loyal Users
70,2025-06-21,2,411.03,4.020188000000001,193,1,1,2,4,Lost Customers
71,2025-10-21,2,346.61,5.959817,71,3,1,1,5,Potential Loyalists
72,2025-10-25,5,891.86,-1.2616960000000006,67,3,4,3,10,Loyal Users
73,2025-06-27,3,868.3,8.219437,187,1,2,3,6,Cannot Lose Them
74,2025-10-12,6,949.1800000000001,13.674785,80,3,5,3,11,Loyal Users
75,2025-08-24,4,730.62,12.319309,129,2,3,3,8,At Risk
76,2025-12-18,3,1634.3,-44.03859799999999,13,5,2,5,12,New Customers
77,2025-10-13,1,432.91,2.7126450000000006,79,3,1,2,6,Potential Loyalists
78,2025-12-19,2,604.9100000000001,10.898824999999999,12,5,1,2,8,New Customers
79,2025-12-08,5,835.2,10.851673,23,5,4,3,12,Loyal Users
80,2025-11-30,3,586.89,-6.916063,31,4,2,2,8,New Customers
81,2025-08-25,4,1489.29,5.964622000000002,128,2,3,4,9,At Risk
82,2025-12-17,6,1424.8999999999999,15.589583999999999,14,5,5,4,14,Champions
